JOUR,SHIFT,OPÉRATEUR,ITEM,QUANTITÉ,TEMPS (h)
18,3,OP10,REPOS,0,0.0
18,3,OP11,REPOS,0,0.0
18,3,OP12,REPOS,0,0.0
18,3,OP13,REPOS,0,0.0
18,3,OP14,REPOS,0,0.0
19,1,OP01,M400201,1,4.69
19,1,OP02,M500330,4,6.25
19,1,OP03,REPOS,0,0.0
19,1,OP04,REPOS,0,0.0
19,1,OP05,REPOS,0,0.0
19,1,OP06,REPOS,0,0.0
19,1,OP07,REPOS,0,0.0
19,1,OP08,REPOS,0,0.0
19,1,OP09,REPOS,0,0.0
19,1,OP10,REPOS,0,0.0
19,1,OP11,REPOS,0,0.0
19,1,OP12,REPOS,0,0.0
19,1,OP13,REPOS,0,0.0
19,1,OP14,REPOS,0,0.0
19,2,OP01,M400201,1,4.69
19,2,OP02,M500304,4,6.25
19,2,OP03,M500317,4,7.5
19,2,OP04,M500324,4,6.25
19,2,OP05,M500325,3,7.03
19,2,OP06,M500327,3,7.03
19,2,OP07,REPOS,0,0.0
19,2,OP08,REPOS,0,0.0
19,2,OP09,REPOS,0,0.0
19,2,OP10,REPOS,0,0.0
19,2,OP11,REPOS,0,0.0
19,2,OP12,REPOS,0,0.0
19,2,OP13,REPOS,0,0.0
19,2,OP14,REPOS,0,0.0
19,3,OP01,M400201,1,4.69
19,3,OP02,REPOS,0,0.0
19,3,OP03,REPOS,0,0.0
19,3,OP04,REPOS,0,0.0
19,3,OP05,REPOS,0,0.0
19,3,OP06,REPOS,0,0.0
19,3,OP07,REPOS,0,0.0
19,3,OP08,REPOS,0,0.0
19,3,OP09,REPOS,0,0.0
19,3,OP10,REPOS,0,0.0
19,3,OP11,REPOS,0,0.0
19,3,OP12,REPOS,0,0.0
19,3,OP13,REPOS,0,0.0
19,3,OP14,REPOS,0,0.0
20,1,OP01,M400201,1,4.69
20,1,OP02,M500312,8,7.5
20,1,OP03,M500318,8,7.5
20,1,OP04,M500319,8,7.5
20,1,OP05,M500323,4,7.5
20,1,OP06,M500324,4,6.25
20,1,OP07,REPOS,0,0.0
20,1,OP08,REPOS,0,0.0
20,1,OP09,REPOS,0,0.0
20,1,OP10,REPOS,0,0.0
20,1,OP11,REPOS,0,0.0
20,1,OP12,REPOS,0,0.0
20,1,OP13,REPOS,0,0.0
20,1,OP14,REPOS,0,0.0
20,2,OP01,M400201,1,4.69
20,2,OP02,M500304,4,6.25
20,2,OP03,M500317,4,7.5
20,2,OP04,M500325,1,2.34
20,2,OP05,M500327,3,7.03
20,2,OP06,REPOS,0,0.0
20,2,OP07,REPOS,0,0.0
20,2,OP08,REPOS,0,0.0
20,2,OP09,REPOS,0,0.0
20,2,OP10,REPOS,0,0.0
20,2,OP11,REPOS,0,0.0
20,2,OP12,REPOS,0,0.0
20,2,OP13,REPOS,0,0.0
20,2,OP14,REPOS,0,0.0
20,3,OP01,M400201,1,4.69
20,3,OP02,M500311,4,7.5
20,3,OP03,M500313,8,7.5
20,3,OP04,M500324,4,6.25
20,3,OP05,REPOS,0,0.0
20,3,OP06,REPOS,0,0.0
20,3,OP07,REPOS,0,0.0
20,3,OP08,REPOS,0,0.0
20,3,OP09,REPOS,0,0.0
20,3,OP10,REPOS,0,0.0
20,3,OP11,REPOS,0,0.0
20,3,OP12,REPOS,0,0.0
20,3,OP13,REPOS,0,0.0
20,3,OP14,REPOS,0,0.0
21,1,OP01,M400201,1,4.69
21,1,OP02,M500328,6,7.03
21,1,OP03,REPOS,0,0.0
21,1,OP04,REPOS,0,0.0
21,1,OP05,REPOS,0,0.0
21,1,OP06,REPOS,0,0.0
21,1,OP07,REPOS,0,0.0
21,1,OP08,REPOS,0,0.0
21,1,OP09,REPOS,0,0.0
21,1,OP10,REPOS,0,0.0
21,1,OP11,REPOS,0,0.0
21,1,OP12,REPOS,0,0.0
21,1,OP13,REPOS,0,0.0
21,1,OP14,REPOS,0,0.0
21,2,OP01,M400201,1,4.69
21,2,OP02,M500304,4,6.25
21,2,OP03,M500317,4,7.5
21,2,OP04,M500324,4,6.25
21,2,OP05,M500327,3,7.03
21,2,OP06,REPOS,0,0.0
21,2,OP07,REPOS,0,0.0
21,2,OP08,REPOS,0,0.0
21,2,OP09,REPOS,0,0.0
21,2,OP10,REPOS,0,0.0
21,2,OP11,REPOS,0,0.0
21,2,OP12,REPOS,0,0.0
21,2,OP13,REPOS,0,0.0
21,2,OP14,REPOS,0,0.0
21,3,OP01,M400201,1,4.69
21,3,OP02,M500323,1,1.88
21,3,OP03,REPOS,0,0.0
21,3,OP04,REPOS,0,0.0
21,3,OP05,REPOS,0,0.0
21,3,OP06,REPOS,0,0.0
21,3,OP07,REPOS,0,0.0
21,3,OP08,REPOS,0,0.0
21,3,OP09,REPOS,0,0.0
21,3,OP10,REPOS,0,0.0
21,3,OP11,REPOS,0,0.0
21,3,OP12,REPOS,0,0.0
21,3,OP13,REPOS,0,0.0
21,3,OP14,REPOS,0,0.0
22,1,OP01,M400201,1,4.69
22,1,OP02,M500312,8,7.5
22,1,OP03,M500318,8,7.5
22,1,OP04,M500319,4,3.75
22,1,OP05,M500324,4,6.25
22,1,OP06,REPOS,0,0.0
22,1,OP07,REPOS,0,0.0
22,1,OP08,REPOS,0,0.0
22,1,OP09,REPOS,0,0.0
22,1,OP10,REPOS,0,0.0
22,1,OP11,REPOS,0,0.0
22,1,OP12,REPOS,0,0.0
22,1,OP13,REPOS,0,0.0
22,1,OP14,REPOS,0,0.0
22,2,OP01,M400201,1,4.69
22,2,OP02,M500304,3,4.69
22,2,OP03,M500317,3,5.62
22,2,OP04,M500327,3,7.03
22,2,OP05,REPOS,0,0.0
22,2,OP06,REPOS,0,0.0
22,2,OP07,REPOS,0,0.0
22,2,OP08,REPOS,0,0.0
22,2,OP09,REPOS,0,0.0
22,2,OP10,REPOS,0,0.0
22,2,OP11,REPOS,0,0.0
22,2,OP12,REPOS,0,0.0
22,2,OP13,REPOS,0,0.0
22,2,OP14,REPOS,0,0.0
22,3,OP01,M400201,1,4.69
22,3,OP02,M500324,4,6.25
22,3,OP03,REPOS,0,0.0
22,3,OP04,REPOS,0,0.0
22,3,OP05,REPOS,0,0.0
22,3,OP06,REPOS,0,0.0
22,3,OP07,REPOS,0,0.0
22,3,OP08,REPOS,0,0.0
22,3,OP09,REPOS,0,0.0
22,3,OP10,REPOS,0,0.0
22,3,OP11,REPOS,0,0.0
22,3,OP12,REPOS,0,0.0
22,3,OP13,REPOS,0,0.0
22,3,OP14,REPOS,0,0.0
23,1,OP01,M400201,1,4.69
23,1,OP02,M500311,3,5.62
23,1,OP03,M500313,5,4.69
23,1,OP04,M500330,4,6.25
23,1,OP05,REPOS,0,0.0
23,1,OP06,REPOS,0,0.0
23,1,OP07,REPOS,0,0.0
23,1,OP08,REPOS,0,0.0
23,1,OP09,REPOS,0,0.0
23,1,OP10,REPOS,0,0.0
23,1,OP11,REPOS,0,0.0
23,1,OP12,REPOS,0,0.0
23,1,OP13,REPOS,0,0.0
23,1,OP14,REPOS,0,0.0
23,2,OP01,M400201,1,4.69
23,2,OP02,M500324,1,1.56
23,2,OP03,M500327,3,7.03
23,2,OP04,M500329,7,6.56
23,2,OP05,REPOS,0,0.0
23,2,OP06,REPOS,0,0.0
23,2,OP07,REPOS,0,0.0
23,2,OP08,REPOS,0,0.0
23,2,OP09,REPOS,0,0.0
23,2,OP10,REPOS,0,0.0
23,2,OP11,REPOS,0,0.0
23,2,OP12,REPOS,0,0.0
23,2,OP13,REPOS,0,0.0
23,2,OP14,REPOS,0,0.0
23,3,OP01,M400201,1,4.69
23,3,OP02,M500328,5,5.86
23,3,OP03,REPOS,0,0.0
23,3,OP04,REPOS,0,0.0
23,3,OP05,REPOS,0,0.0
23,3,OP06,REPOS,0,0.0
23,3,OP07,REPOS,0,0.0
23,3,OP08,REPOS,0,0.0
23,3,OP09,REPOS,0,0.0
23,3,OP10,REPOS,0,0.0
23,3,OP11,REPOS,0,0.0
23,3,OP12,REPOS,0,0.0
23,3,OP13,REPOS,0,0.0
23,3,OP14,REPOS,0,0.0
24,1,OP01,M400201,1,4.69
24,1,OP02,M500318,3,2.81
24,1,OP03,REPOS,0,0.0
24,1,OP04,REPOS,0,0.0
24,1,OP05,REPOS,0,0.0
24,1,OP06,REPOS,0,0.0
24,1,OP07,REPOS,0,0.0
24,1,OP08,REPOS,0,0.0
24,1,OP09,REPOS,0,0.0
24,1,OP10,REPOS,0,0.0
24,1,OP11,REPOS,0,0.0
24,1,OP12,REPOS,0,0.0
24,1,OP13,REPOS,0,0.0
24,1,OP14,REPOS,0,0.0
24,2,OP01,M400201,1,4.69
24,2,OP02,M500327,3,7.03
24,2,OP03,REPOS,0,0.0
24,2,OP04,REPOS,0,0.0
24,2,OP05,REPOS,0,0.0
24,2,OP06,REPOS,0,0.0
24,2,OP07,REPOS,0,0.0
24,2,OP08,REPOS,0,0.0
24,2,OP09,REPOS,0,0.0
24,2,OP10,REPOS,0,0.0
24,2,OP11,REPOS,0,0.0
24,2,OP12,REPOS,0,0.0
24,2,OP13,REPOS,0,0.0
24,2,OP14,REPOS,0,0.0
24,3,OP01,M400201,1,4.69
24,3,OP02,REPOS,0,0.0
24,3,OP03,REPOS,0,0.0
24,3,OP04,REPOS,0,0.0
24,3,OP05,REPOS,0,0.0
24,3,OP06,REPOS,0,0.0
24,3,OP07,REPOS,0,0.0
24,3,OP08,REPOS,0,0.0
24,3,OP09,REPOS,0,0.0
24,3,OP10,REPOS,0,0.0
24,3,OP11,REPOS,0,0.0
24,3,OP12,REPOS,0,0.0
24,3,OP13,REPOS,0,0.0
24,3,OP14,REPOS,0,0.0
25,1,OP01,M400201,1,4.69
25,1,OP02,REPOS,0,0.0
25,1,OP03,REPOS,0,0.0
25,1,OP04,REPOS,0,0.0
25,1,OP05,REPOS,0,0.0
25,1,OP06,REPOS,0,0.0
25,1,OP07,REPOS,0,0.0
25,1,OP08,REPOS,0,0.0
25,1,OP09,REPOS,0,0.0
25,1,OP10,REPOS,0,0.0
25,1,OP11,REPOS,0,0.0
25,1,OP12,REPOS,0,0.0
25,1,OP13,REPOS,0,0.0
25,1,OP14,REPOS,0,0.0
25,2,OP01,M500327,3,7.03
25,2,OP02,REPOS,0,0.0
25,2,OP03,REPOS,0,0.0
25,2,OP04,REPOS,0,0.0
25,2,OP05,REPOS,0,0.0
25,2,OP06,REPOS,0,0.0
25,2,OP07,REPOS,0,0.0
25,2,OP08,REPOS,0,0.0
25,2,OP09,REPOS,0,0.0
25,2,OP10,REPOS,0,0.0
25,2,OP11,REPOS,0,0.0
25,2,OP12,REPOS,0,0.0
25,2,OP13,REPOS,0,0.0
25,2,OP14,REPOS,0,0.0
25,3,OP01,REPOS,0,0.0
25,3,OP02,REPOS,0,0.0
25,3,OP03,REPOS,0,0.0
25,3,OP04,REPOS,0,0.0
25,3,OP05,REPOS,0,0.0
25,3,OP06,REPOS,0,0.0
25,3,OP07,REPOS,0,0.0
25,3,OP08,REPOS,0,0.0
25,3,OP09,REPOS,0,0.0
25,3,OP10,REPOS,0,0.0
25,3,OP11,REPOS,0,0.0
25,3,OP12,REPOS,0,0.0
25,3,OP13,REPOS,0,0.0
25,3,OP14,REPOS,0,0.0
